Country.Other|TotalCases|NewCases|TotalDeaths|NewDeaths|TotalRecovered|ActiveCases|Serious.Critical|Tot.Cases.1M.pop|Tot.Deaths.1M.pop|Sys Date|Last updated
746|Morocco|54|NA|2|NA|1|51|1|1||NA|March 19, 2020, 03:44 GMT
747|Andorra|53|NA|NA|NA|1|52|NA|686||NA|March 19, 2020, 03:44 GMT
748|Belarus|51|NA|NA|NA|5|46|NA|5||NA|March 19, 2020, 03:44 GMT
749|Sri Lanka|51|NA|NA|NA|3|48|NA|2||NA|March 19, 2020, 03:44 GMT
750|Malta|48|NA|NA|NA|2|46|NA|109||NA|March 19, 2020, 03:44 GMT
751|Palestine|44|NA|NA|NA|NA|44|NA|9||NA|March 19, 2020, 03:44 GMT
752|North Macedonia|43|NA|NA|NA|1|42|1|21||NA|March 19, 2020, 03:44 GMT
753|Oman|39|NA|NA|NA|13|26|NA|8||NA|March 19, 2020, 03:44 GMT
754|Bosnia and Herzegovina|39|NA|NA|NA|2|37|NA|12||NA|March 19, 2020, 03:44 GMT
755|Georgia|38|NA|NA|NA|1|37|1|10||NA|March 19, 2020, 03:44 GMT
756|Cambodia|37|NA|NA|NA|1|36|NA|2||NA|March 19, 2020, 03:44 GMT
757|Kazakhstan|37|1|NA|NA|NA|37|NA|2||NA|March 19, 2020, 03:44 GMT
758|Moldova|36|NA|1|NA|1|34|2|9||NA|March 19, 2020, 03:44 GMT
759|Senegal|36|NA|NA|NA|2|34|NA|2||NA|March 19, 2020, 03:44 GMT
760|Venezuela|36|NA|NA|NA|NA|36|NA|1||NA|March 19, 2020, 03:44 GMT
761|Dominican Republic|34|NA|2|NA|NA|32|NA|3||NA|March 19, 2020, 03:44 GMT
762|Azerbaijan|34|NA|1|NA|7|26|NA|3||NA|March 19, 2020, 03:44 GMT
763|Lithuania|34|NA|NA|NA|1|33|1|12||NA|March 19, 2020, 03:44 GMT
764|Guadeloupe|33|NA|NA|NA|NA|33|NA|82||NA|March 19, 2020, 03:44 GMT
765|Tunisia|29|NA|NA|NA|1|28|2|2||NA|March 19, 2020, 03:44 GMT
766|New Zealand|28|8|NA|NA|NA|28|NA|6||NA|March 19, 2020, 03:44 GMT
767|Liechtenstein|28|NA|NA|NA|NA|28|NA|734||NA|March 19, 2020, 03:44 GMT
768|Martinique|23|NA|1|NA|NA|22|NA|61||NA|March 19, 2020, 03:44 GMT
769|Afghanistan|22|NA|NA|NA|1|21|NA|0.6||NA|March 19, 2020, 03:44 GMT
770|Burkina Faso|20|NA|1|NA|NA|19|NA|1||NA|March 19, 2020, 03:44 GMT
771|Uzbekistan|18|NA|NA|NA|NA|18|NA|0.5||NA|March 19, 2020, 03:44 GMT
772|Macao|17|NA|NA|NA|10|7|NA|26||NA|March 19, 2020, 03:44 GMT
773|Ukraine|16|NA|2|NA|NA|14|NA|0.4||NA|March 19, 2020, 03:44 GMT
774|Jamaica|15|NA|1|NA|2|12|NA|5||NA|March 19, 2020, 03:44 GMT
775|French Guiana|15|NA|NA|NA|NA|15|NA|50||NA|March 19, 2020, 03:44 GMT
776|Bangladesh|14|NA|1|NA|3|10|NA|0.09||NA|March 19, 2020, 03:44 GMT
777|Réunion|14|NA|NA|NA|NA|14|NA|16||NA|March 19, 2020, 03:44 GMT
778|Cameroon|13|NA|NA|NA|NA|13|NA|0.5||NA|March 19, 2020, 03:44 GMT
779|Maldives|13|NA|NA|NA|NA|13|NA|24||NA|March 19, 2020, 03:44 GMT
780|Bolivia|12|NA|NA|NA|NA|12|NA|1||NA|March 19, 2020, 03:44 GMT
781|Paraguay|11|NA|NA|NA|NA|11|1|2||NA|March 19, 2020, 03:44 GMT
782|Rwanda|11|NA|NA|NA|NA|11|NA|0.8||NA|March 19, 2020, 03:44 GMT
783|Cuba|10|NA|1|NA|NA|9|NA|0.9||NA|March 19, 2020, 03:44 GMT
784|Monaco|9|NA|NA|NA|NA|9|NA|229||NA|March 19, 2020, 03:44 GMT
785|Ivory Coast|9|NA|NA|NA|1|8|NA|0.3||NA|March 19, 2020, 03:44 GMT
786|Honduras|9|NA|NA|NA|NA|9|NA|0.9||NA|March 19, 2020, 03:44 GMT
787|Guatemala|8|NA|1|NA|NA|7|NA|0.4||NA|March 19, 2020, 03:44 GMT
788|Nigeria|8|NA|NA|NA|1|7|NA|0.04||NA|March 19, 2020, 03:44 GMT
789|Gibraltar|8|NA|NA|NA|2|6|NA|237||NA|March 19, 2020, 03:44 GMT
790|Guam|8|NA|NA|NA|NA|8|NA|47||NA|March 19, 2020, 03:44 GMT
791|Montenegro|8|NA|NA|NA|NA|8|NA|13||NA|March 19, 2020, 03:44 GMT
792|Channel Islands|7|NA|NA|NA|NA|7|NA|40||NA|March 19, 2020, 03:44 GMT
793|DRC|7|NA|NA|NA|NA|7|NA|0.08||NA|March 19, 2020, 03:44 GMT
794|Ghana|7|NA|NA|NA|NA|7|NA|0.2||NA|March 19, 2020, 03:44 GMT
795|Kenya|7|NA|NA|NA|NA|7|NA|0.1||NA|March 19, 2020, 03:44 GMT
796|Trinidad and Tobago|7|NA|NA|NA|NA|7|NA|5||NA|March 19, 2020, 03:44 GMT
797|Ethiopia|6|NA|NA|NA|NA|6|NA|0.05||NA|March 19, 2020, 03:44 GMT
798|Mongolia|6|NA|NA|NA|NA|6|NA|2||NA|March 19, 2020, 03:44 GMT
799|Puerto Rico|6|NA|NA|NA|NA|6|NA|2||NA|March 19, 2020, 03:44 GMT
800|Seychelles|6|NA|NA|NA|NA|6|NA|61||NA|March 19, 2020, 03:44 GMT
801|French Polynesia|5|NA|NA|NA|NA|5|NA|18||NA|March 19, 2020, 03:44 GMT
802|Guyana|4|NA|1|NA|NA|3|NA|5||NA|March 19, 2020, 03:44 GMT
803|Aruba|4|NA|NA|NA|NA|4|NA|37||NA|March 19, 2020, 03:44 GMT
804|Equatorial Guinea|4|NA|NA|NA|NA|4|NA|3||NA|March 19, 2020, 03:44 GMT
805|Curaçao|3|NA|1|1|NA|2|NA|18||NA|March 19, 2020, 03:44 GMT
806|Gabon|3|NA|NA|NA|NA|3|NA|1||NA|March 19, 2020, 03:44 GMT
807|Kyrgyzstan|3|NA|NA|NA|NA|3|NA|0.5||NA|March 19, 2020, 03:44 GMT
808|Mauritius|3|NA|NA|NA|NA|3|NA|2||NA|March 19, 2020, 03:44 GMT
809|Mayotte|3|NA|NA|NA|NA|3|NA|11||NA|March 19, 2020, 03:44 GMT
810|St. Barth|3|NA|NA|NA|NA|3|NA|304||NA|March 19, 2020, 03:44 GMT
811|Saint Martin|3|NA|NA|NA|NA|3|NA|78||NA|March 19, 2020, 03:44 GMT
812|Tanzania|3|NA|NA|NA|NA|3|NA|0.05||NA|March 19, 2020, 03:44 GMT
813|Sudan|2|NA|1|NA|NA|1|NA|0.05||NA|March 19, 2020, 03:44 GMT
814|Barbados|2|NA|NA|NA|NA|2|NA|7||NA|March 19, 2020, 03:44 GMT
815|Benin|2|NA|NA|NA|NA|2|NA|0.2||NA|March 19, 2020, 03:44 GMT
816|Bermuda|2|NA|NA|NA|NA|2|NA|32||NA|March 19, 2020, 03:44 GMT
817|Greenland|2|NA|NA|NA|NA|2|NA|35||NA|March 19, 2020, 03:44 GMT
818|Liberia|2|NA|NA|NA|NA|2|NA|0.4||NA|March 19, 2020, 03:44 GMT
819|Mauritania|2|NA|NA|NA|NA|2|NA|0.4||NA|March 19, 2020, 03:44 GMT
820|Namibia|2|NA|NA|NA|NA|2|NA|0.8||NA|March 19, 2020, 03:44 GMT
821|New Caledonia|2|NA|NA|NA|NA|2|NA|7||NA|March 19, 2020, 03:44 GMT
822|Saint Lucia|2|NA|NA|NA|NA|2|NA|11||NA|March 19, 2020, 03:44 GMT
823|U.S. Virgin Islands|2|NA|NA|NA|NA|2|NA|19||NA|March 19, 2020, 03:44 GMT
824|Zambia|2|NA|NA|NA|NA|2|NA|0.1||NA|March 19, 2020, 03:44 GMT
825|Cayman Islands|1|NA|1|NA|NA|0|NA|15||NA|March 19, 2020, 03:44 GMT
826|Nepal|1|NA|NA|NA|1|0|NA|0.03||NA|March 19, 2020, 03:44 GMT
827|Antigua and Barbuda|1|NA|NA|NA|NA|1|NA|10||NA|March 19, 2020, 03:44 GMT
828|Bahamas|1|NA|NA|NA|NA|1|NA|3||NA|March 19, 2020, 03:44 GMT
829|Bhutan|1|NA|NA|NA|NA|1|NA|1||NA|March 19, 2020, 03:44 GMT
830|CAR|1|NA|NA|NA|NA|1|NA|0.2||NA|March 19, 2020, 03:44 GMT
831|Congo|1|NA|NA|NA|NA|1|NA|0.2||NA|March 19, 2020, 03:44 GMT
832|Djibouti|1|NA|NA|NA|NA|1|NA|1||NA|March 19, 2020, 03:44 GMT
833|El Salvador|1|1|NA|NA|NA|1|NA|0.2||NA|March 19, 2020, 03:44 GMT
834|Fiji|1|1|NA|NA|NA|1|NA|1||NA|March 19, 2020, 03:44 GMT
835|Gambia|1|NA|NA|NA|NA|1|NA|0.4||NA|March 19, 2020, 03:44 GMT
836|Guinea|1|NA|NA|NA|NA|1|NA|0.08||NA|March 19, 2020, 03:44 GMT
837|Vatican City|1|NA|NA|NA|NA|1|NA|1248||NA|March 19, 2020, 03:44 GMT
838|Montserrat|1|NA|NA|NA|NA|1|NA|200||NA|March 19, 2020, 03:44 GMT
839|Nicaragua|1|1|NA|NA|NA|1|NA|0.2||NA|March 19, 2020, 03:44 GMT
840|St. Vincent Grenadines|1|NA|NA|NA|NA|1|NA|9||NA|March 19, 2020, 03:44 GMT
841|Sint Maarten|1|NA|NA|NA|NA|1|NA|23||NA|March 19, 2020, 03:44 GMT
842|Somalia|1|NA|NA|NA|NA|1|NA|0.06||NA|March 19, 2020, 03:44 GMT
843|Suriname|1|NA|NA|NA|NA|1|NA|2||NA|March 19, 2020, 03:44 GMT
844|Eswatini|1|NA|NA|NA|NA|1|NA|0.9||NA|March 19, 2020, 03:44 GMT
845|Togo|1|NA|NA|NA|NA|1|NA|0.1||NA|March 19, 2020, 03:44 GMT
846|Total:|219240|461|8967|24|85745|124528|6815|28.1||NA|March 19, 2020, 03:44 GMT
1|China|80928|34|3245|8|70420|7263|2274|56||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
2|Italy|35713|NA|2978|NA|4025|28710|2257|591||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
3|Iran|18407|1046|1284|149|5979|11144|NA|219||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
4|Spain|17395|2626|803|165|1107|15485|800|372||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
5|Germany|13979|1652|42|14|113|13824|2|167||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
6|USA|9521|262|160|10|108|9253|64|29||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
7|France|9134|NA|264|NA|602|8268|931|140||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
8|S. Korea|8565|152|91|7|1947|6527|59|167||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
9|Switzerland|3939|824|36|3|15|3888|NA|455||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
10|UK|2689|63|128|24|65|2496|20|40||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
11|Netherlands|2460|409|76|18|2|2382|45|144||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
12|Austria|2013|367|6|2|9|1998|12|224||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
13|Belgium|1795|309|21|7|165|1609|130|155||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
14|Norway|1721|130|7|1|1|1713|27|317||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
15|Sweden|1439|138|11|1|16|1412|21|142||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
16|Denmark|1132|75|6|2|1|1125|30|195||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
17|Japan|923|9|32|3|191|700|46|7||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
18|Malaysia|900|110|2|NA|75|823|15|28||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
19|Portugal|785|143|3|1|4|778|20|77||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
20|Canada|727|NA|9|NA|12|706|1|19||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
21|Diamond Princess|712|NA|7|NA|527|178|14|NA||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
22|Australia|709|113|6|NA|46|657|1|28||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
23|Czechia|631|109|NA|NA|3|628|6|59||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
24|Brazil|533|4|4|NA|2|527|18|3||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
25|Israel|529|96|NA|NA|13|516|6|61||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
26|Qatar|452|NA|NA|NA|4|448|NA|157||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
27|Greece|418|NA|6|1|14|398|20|40||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
28|Finland|400|41|NA|NA|10|390|2|72||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
29|Pakistan|384|77|2|NA|13|369|NA|2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
30|Ireland|366|NA|2|NA|5|359|6|74||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
31|Singapore|345|32|NA|NA|124|221|14|59||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
32|Chile|342|104|NA|NA|NA|342|6|18||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
33|Luxembourg|335|132|4|2|NA|331|1|535||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
34|Iceland|330|80|NA|NA|5|325|1|967||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
35|Poland|325|38|5|NA|13|307|3|9||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
36|Slovenia|319|33|1|NA|NA|318|6|153||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
37|Indonesia|309|82|25|6|15|269|NA|1||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
38|Romania|277|17|NA|NA|25|252|5|14||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
39|Thailand|272|60|1|NA|42|229|1|4||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
40|Bahrain|268|12|1|NA|100|167|4|158||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
41|Estonia|267|9|NA|NA|1|266|1|201||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
42|Saudi Arabia|238|NA|NA|NA|8|230|NA|7||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
43|Philippines|217|15|17|NA|8|192|1|2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
44|Egypt|210|NA|6|NA|28|176|NA|2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
45|Hong Kong|208|15|4|NA|98|106|4|28||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
46|Russia|199|52|1|1|8|190|NA|1||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
47|India|197|28|4|1|20|173|NA|0.1||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
48|Turkey|192|1|3|1|NA|189|NA|2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
49|Iraq|177|13|12|NA|49|116|NA|4||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
50|Ecuador|168|NA|3|NA|1|164|2|10||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
51|Peru|155|10|NA|NA|1|154|8|5||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
52|South Africa|150|34|NA|NA|NA|150|NA|3||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
53|Lebanon|149|16|4|NA|4|141|3|22||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
54|Kuwait|148|6|NA|NA|18|130|5|35||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
55|San Marino|140|NA|14|NA|4|122|11|4126||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
56|UAE|140|27|NA|NA|31|109|2|14||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
57|Slovakia|124|19|NA|NA|NA|124|2|23||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
58|Armenia|122|12|NA|NA|1|121|2|41||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
59|Mexico|118|25|1|1|4|113|1|0.9||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
60|Panama|109|NA|1|NA|NA|108|7|25||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
61|Taiwan|108|8|1|NA|26|81|NA|5||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
62|Croatia|102|13|1|1|5|96|NA|25||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
63|Colombia|102|9|NA|NA|1|101|NA|2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
64|Argentina|97|NA|3|1|3|91|NA|2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
65|Serbia|97|8|NA|NA|1|96|4|11||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
66|Bulgaria|94|2|3|1|NA|91|NA|14||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
67|Algeria|87|12|9|2|32|46|NA|2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
68|Latvia|86|15|NA|NA|1|85|NA|46||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
69|Uruguay|79|NA|NA|NA|NA|79|NA|23||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
70|Vietnam|76|NA|NA|NA|16|60|NA|0.8||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
71|Hungary|73|15|1|NA|2|70|4|8||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
72|Brunei|73|5|NA|NA|NA|73|2|167||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
73|Faeroe Islands|72|14|NA|NA|1|71|NA|1474||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
74|Costa Rica|69|NA|1|NA|NA|68|2|14||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
75|Albania|64|5|2|NA|NA|62|2|22||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
76|Morocco|61|7|2|NA|1|58|1|2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
77|Sri Lanka|60|9|NA|NA|3|57|NA|3||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
78|Cyprus|58|NA|NA|NA|NA|58|1|48||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
79|Jordan|56|NA|NA|NA|1|55|NA|5||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
80|Andorra|53|NA|NA|NA|1|52|NA|686||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
81|Malta|53|5|NA|NA|2|51|NA|120||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
82|Belarus|51|NA|NA|NA|5|46|NA|5||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
83|Bosnia and Herzegovina|49|10|NA|NA|2|47|NA|15||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
84|Palestine|47|3|NA|NA|NA|47|NA|9||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
85|Azerbaijan|44|10|1|NA|7|36|NA|4||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
86|Kazakhstan|44|8|NA|NA|NA|44|NA|2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
87|North Macedonia|43|NA|NA|NA|1|42|1|21||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
88|Georgia|40|2|NA|NA|1|39|1|10||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
89|Oman|39|NA|NA|NA|13|26|NA|8||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
90|Tunisia|39|10|NA|NA|1|38|2|3||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
91|Cambodia|37|NA|NA|NA|1|36|NA|2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
92|Moldova|36|NA|1|NA|1|34|3|9||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
93|Lithuania|36|2|NA|NA|1|35|1|13||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
94|Senegal|36|NA|NA|NA|2|34|NA|2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
95|Venezuela|36|NA|NA|NA|NA|36|NA|1||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
96|Dominican Republic|34|NA|2|NA|NA|32|NA|3||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
97|Burkina Faso|33|6|1|NA|NA|32|NA|2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
98|Guadeloupe|33|NA|NA|NA|NA|33|NA|82||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
99|New Zealand|28|8|NA|NA|NA|28|NA|6||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
100|Liechtenstein|28|NA|NA|NA|NA|28|NA|734||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
101|Martinique|23|NA|1|NA|NA|22|NA|61||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
102|Uzbekistan|23|5|NA|NA|NA|23|NA|0.7||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
103|Afghanistan|22|NA|NA|NA|1|21|NA|0.6||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
104|Réunion|19|5|NA|NA|NA|19|NA|21||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
105|Ukraine|18|2|2|NA|NA|16|NA|0.4||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
106|Bangladesh|18|4|1|NA|3|14|NA|0.1||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
107|Macao|17|NA|NA|NA|10|7|NA|26||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
108|Jamaica|15|NA|1|NA|2|12|NA|5||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
109|Bolivia|15|3|NA|NA|NA|15|NA|1||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
110|French Guiana|15|NA|NA|NA|NA|15|NA|50||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
111|DRC|14|7|NA|NA|NA|14|NA|0.2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
112|Cameroon|13|NA|NA|NA|NA|13|NA|0.5||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
113|Maldives|13|NA|NA|NA|NA|13|NA|24||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
114|Nigeria|12|4|NA|NA|1|11|NA|0.06||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
115|Guam|12|4|NA|NA|NA|12|NA|71||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
116|Honduras|12|3|NA|NA|NA|12|NA|1||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
117|Cuba|11|1|1|NA|NA|10|NA|1||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
118|Paraguay|11|NA|NA|NA|NA|11|1|2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
119|Rwanda|11|NA|NA|NA|NA|11|NA|0.8||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
120|Montenegro|10|2|NA|NA|NA|10|NA|16||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
121|Monaco|9|NA|NA|NA|NA|9|NA|229||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
122|Ivory Coast|9|NA|NA|NA|1|8|NA|0.3||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
123|Ghana|9|2|NA|NA|NA|9|NA|0.3||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
124|Trinidad and Tobago|9|2|NA|NA|NA|9|NA|6||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
125|Guatemala|8|NA|1|NA|NA|7|NA|0.4||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
126|Gibraltar|8|NA|NA|NA|2|6|NA|237||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
127|Channel Islands|7|NA|NA|NA|NA|7|NA|40||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
128|Ethiopia|7|1|NA|NA|NA|7|NA|0.06||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
129|Kenya|7|NA|NA|NA|NA|7|NA|0.1||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
130|French Polynesia|6|1|NA|NA|NA|6|NA|21||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
131|Mongolia|6|NA|NA|NA|NA|6|NA|2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
132|Puerto Rico|6|NA|NA|NA|NA|6|NA|2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
133|Seychelles|6|NA|NA|NA|NA|6|NA|61||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
134|Tanzania|6|3|NA|NA|NA|6|NA|0.1||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
135|Guyana|5|1|1|NA|NA|4|NA|6||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
136|Aruba|5|1|NA|NA|NA|5|NA|47||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
137|Equatorial Guinea|4|NA|NA|NA|NA|4|NA|3||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
138|Curaçao|3|NA|1|1|NA|2|NA|18||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
139|Bahamas|3|2|NA|NA|NA|3|NA|8||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
140|Gabon|3|NA|NA|NA|NA|3|NA|1||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
141|Kyrgyzstan|3|NA|NA|NA|NA|3|NA|0.5||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
142|Mauritius|3|NA|NA|NA|NA|3|NA|2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
143|Mayotte|3|NA|NA|NA|NA|3|NA|11||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
144|St. Barth|3|NA|NA|NA|NA|3|NA|304||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
145|Saint Martin|3|NA|NA|NA|NA|3|NA|78||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
146|U.S. Virgin Islands|3|1|NA|NA|NA|3|NA|29||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
147|Sudan|2|NA|1|NA|NA|1|NA|0.05||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
148|Barbados|2|NA|NA|NA|NA|2|NA|7||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
149|Benin|2|NA|NA|NA|NA|2|NA|0.2||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
150|Bermuda|2|NA|NA|NA|NA|2|NA|32||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
151|Greenland|2|NA|NA|NA|NA|2|NA|35||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
152|Liberia|2|NA|NA|NA|NA|2|NA|0.4||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
153|Mauritania|2|NA|NA|NA|NA|2|NA|0.4||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
154|Namibia|2|NA|NA|NA|NA|2|NA|0.8||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
155|New Caledonia|2|NA|NA|NA|NA|2|NA|7||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
156|Saint Lucia|2|NA|NA|NA|NA|2|NA|11||2020-03-19 11:04:28|March 19, 2020, 15:00 GMT
