Mauritania	1					1		0.2		"March 17, 2020, 03:35 GMT"
Mayotte	1					1				"March 17, 2020, 03:35 GMT"
St. Vincent Grenadines	1					1				"March 17, 2020, 03:35 GMT"
Somalia	1					1		0.1		"March 17, 2020, 03:35 GMT"
Suriname	1					1				"March 17, 2020, 03:35 GMT"
Eswatini	1					1		0.9		"March 17, 2020, 03:35 GMT"
Tanzania	1					1				"March 17, 2020, 03:35 GMT"
Togo	1					1		0.1		"March 17, 2020, 03:35 GMT"
U.S. Virgin Islands	1					1				"March 17, 2020, 03:35 GMT"
Total:	"182,609"	157	"7,171"	24	"79,883"	"95,555"	"6,163"	23.4		"March 17, 2020, 03:35 GMT"
China	"80,881"	21	"3,226"	13	"68,715"	"8,940"	"3,226"	56.2		"March 17, 2020, 15:15 GMT"
Italy	"27,980"		"2,158"		"2,749"	"23,073"	"1,851"			"March 17, 2020, 15:15 GMT"
Iran	"16,169"	"1,178"	988	135	"5,389"	"9,792"		192.5		"March 17, 2020, 15:15 GMT"
Spain	"11,409"	"1,467"	509	167	"1,028"	"9,872"	563	244		"March 17, 2020, 15:15 GMT"
S. Korea	"8,320"	84	81	6	"1,401"	"6,838"	59	162.3		"March 17, 2020, 15:15 GMT"
Germany	"8,084"	812	20	3	67	"7,997"	2	96.5		"March 17, 2020, 15:15 GMT"
France	"6,633"		148		12	"6,473"	400	101.6		"March 17, 2020, 15:15 GMT"
USA	"5,243"	580	94	8	74	"5,075"	12	15.8		"March 17, 2020, 15:15 GMT"
Switzerland	"2,674"	321	21	2	4	"2,649"		309		"March 17, 2020, 15:15 GMT"
UK	"1,950"	407	56	1	52	"1,842"	20	28.7		"March 17, 2020, 15:15 GMT"
Netherlands	"1,705"	292	43	19	2	"1,660"	45	99.5		"March 17, 2020, 15:15 GMT"
Norway	"1,438"	90	3		1	"1,434"	27	265.3		"March 17, 2020, 15:15 GMT"
Austria	"1,332"	314	4	1	8	"1,320"	12	147.9		"March 17, 2020, 15:15 GMT"
Belgium	"1,243"	185	10		14	"1,219"	33	107.3		"March 17, 2020, 15:15 GMT"
Sweden	"1,190"	69	7		1	"1,182"	12	117.8		"March 17, 2020, 15:15 GMT"
Denmark	960	46	4		1	955	18	165.7		"March 17, 2020, 15:15 GMT"
Japan	876	43	28		144	704	41	6.9		"March 17, 2020, 15:15 GMT"
